dataset,model,checkpoint,train_loss,val_loss,epoch,batch_size,temperature,learning_rate,gen_gap
uniform,SimCLR,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimCLR/uniform/pw1sw135_encoder_epoch20.pth,3.0696800659809793,3.0659774589538573,20,64,0.5479044597110074,0.0005117852184122083,-0.0037026070271219957
moderate,SimCLR,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimCLR/moderate/09utvss4_encoder_epoch20.pth,4.464816978999546,4.256611006600516,20,256,0.972635171899134,0.00016342315125137516,-0.20820597239903016
heavy,SimCLR,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimCLR/heavy/cev6l3m0_encoder_epoch20.pth,3.068376984447241,3.0669272136688233,20,64,0.1607308483324126,0.0008555517074732858,-0.0014497707784175695
uniform,SimSiam,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimSiam/uniform/jbby2qe3_encoder_epoch20.pth,1.032226366656167,1.0309161245822906,20,512,0.16296385697964766,2.8646060865258207e-05,-0.001310242073876422
moderate,SimSiam,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimSiam/moderate/39x5xe6e_encoder_epoch20.pth,0.958188409251826,0.9674238903181892,20,256,0.6859192130157687,6.969839894676126e-05,0.009235481066363183
heavy,SimSiam,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/SimSiam/heavy/ou1nm25r_encoder_epoch20.pth,0.9979956213917052,0.9979882091283798,20,512,0.915421909377992,0.0003984090054349174,-7.412263325345947e-06
uniform,BYOL,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/BYOL/uniform/aenvh0df_encoder_epoch20.pth,1.9089914076030257,1.9011212587356567,20,64,0.5382962949987014,1.6527200126242654e-05,-0.00787014886736892
moderate,BYOL,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/BYOL/moderate/66s155oj_encoder_epoch20.pth,1.9349520855716296,1.9351102388822117,20,128,0.8259156737333193,0.0003563587684483659,0.0001581533105821098
heavy,BYOL,/eagle/projects/argonne_tpc/siebenschuh/domain_shift_data/checkpoints/BYOL/heavy/51xdxted_encoder_epoch20.pth,1.940317098583494,1.9417375417856069,20,128,0.6458145205076079,1.6343639761318784e-05,0.0014204432021127644
